Index,X,Y,Width,Height,Rank
160,828,241,97,47,0.174554259
161,710,429,187,116,0.06521762
162,837,591,28,96,0.627287934
163,714,385,162,74,0.730612115
164,352,310,144,150,0.239915063
165,463,744,191,16,0.778244024
166,1026,165,80,95,0.438727022
167,1295,438,193,30,0.968932656
168,1603,967,186,30,0.469300516
169,220,343,11,102,0.31652698
170,1439,584,23,192,0.58664284
171,229,807,38,92,0.934977565
172,434,494,30,172,0.681929613
173,961,149,49,130,0.417458305
174,645,385,100,140,0.848459005
175,348,962,172,14,0.456983237
176,681,791,82,117,0.804103383
177,720,998,17,102,0.553732602
178,1145,365,19,126,0.108736439
179,575,358,164,172,0.285175828
180,271,66,113,40,0.342078956
181,709,504,121,133,0.034509609
182,592,262,173,108,0.480319201
183,708,901,95,74,0.242455168
184,554,666,57,197,0.661185858
185,512,536,156,106,0.062163253
186,595,321,124,160,0.26268484
187,725,704,125,58,0.405013291
188,1059,564,196,35,0.894141068
189,435,969,81,150,0.867365038
190,621,462,68,83,0.397116515
191,75,498,83,70,0.981584904
192,1517,656,99,59,0.93103354
193,158,164,13,28,0.487577809
194,1501,360,133,117,0.964641707
195,894,948,10,164,0.448345874
196,1047,609,72,46,0.580925795
197,202,326,121,70,0.016688482
198,111,553,127,33,0.859352468
199,1028,627,57,198,0.320539493
200,1194,500,74,85,0.657127016
201,1571,939,10,49,0.119259672
202,965,974,128,50,0.902529726
203,490,315,17,65,0.826190435
204,1421,918,65,111,0.168788223
205,786,893,48,114,0.756968102
206,415,336,63,131,0.023211678
207,1639,177,99,155,0.891732021
208,329,55,94,141,0.163371578
209,1702,890,173,115,0.357426569
210,1429,505,154,189,0.209757438
211,646,983,52,134,0.806391345
212,1449,467,143,185,0.796623646
213,443,903,108,66,0.231196757
214,532,336,60,134,0.550996623
215,1423,338,194,97,0.966398174
216,1783,883,94,144,0.467701538
217,633,148,101,168,0.922908956
218,738,623,99,157,0.510530161
219,722,486,24,102,0.048035297
220,676,364,173,146,0.485238327
221,900,671,134,128,0.168314718
222,798,829,146,162,0.137420407
223,1188,965,168,152,0.764261866
224,976,525,168,136,0.936264266
225,674,113,119,26,0.287500154
226,1133,822,24,147,0.34960408
227,818,391,152,159,0.517773923
228,296,502,190,176,0.282185349
229,1673,595,112,81,0.91609208
230,247,143,89,188,0.89445522
231,555,553,153,160,0.953156688
232,217,195,172,179,0.082429015
233,1218,859,120,40,0.330756986
234,1474,820,44,55,0.826787863
235,1111,666,49,27,0.673291405
236,862,827,95,72,0.009293186
237,92,373,22,49,0.258535541
238,693,902,34,189,0.452275055
239,1458,494,182,98,0.123070067
240,1519,474,101,88,0.255481537
241,448,521,127,79,0.615562738
242,199,578,86,36,0.353643739
243,1770,822,166,171,0.746744672
244,1440,903,142,39,0.390532712
245,341,458,177,32,0.345610918
246,1191,846,122,31,0.033844046
247,783,579,41,200,0.835518295
248,1185,564,46,39,0.80244473
249,121,592,20,95,0.051190005
250,951,62,82,110,0.661017884
251,888,175,102,145,0.96530053
252,1203,676,11,114,0.594954167
253,1799,87,172,196,0.793913462
254,700,301,142,47,0.017445978
255,233,145,167,182,0.706595931
256,780,354,37,191,0.076303181
257,1160,308,164,91,0.59730927
258,1698,130,57,117,0.459742762
259,676,157,91,116,0.569522096
260,672,762,165,115,0.364053712
261,592,834,144,80,0.181825137
262,1155,393,70,97,0.124224101
263,392,925,51,117,0.602664522
264,158,611,14,197,0.801075239
265,1715,553,86,174,0.968767692
266,1458,967,183,76,0.576674102
267,249,782,132,119,0.351699531
268,1788,584,27,110,0.826786934
269,1628,484,14,128,0.029521506
270,676,375,135,85,0.318931118
271,358,715,14,101,0.178171906
272,243,283,55,181,0.049724585
273,457,846,92,93,0.333394933
274,1068,817,128,177,0.292449065
275,924,258,34,178,0.512350413
276,103,120,92,166,0.899149837
277,1310,417,157,184,0.737212727
278,456,295,198,171,0.437455876
279,1499,677,75,50,0.766749984
280,1662,553,89,65,0.195744876
281,1644,90,171,176,0.083405179
282,100,176,173,54,0.430888486
283,1768,353,170,198,0.181160597
284,1295,714,162,39,0.977352335
285,119,868,28,198,0.255585951
286,1200,677,63,199,0.541528414
287,1483,791,40,123,0.564925066
288,1581,670,147,92,0.428405867
289,1696,324,52,182,0.67153028
290,224,306,102,167,0.771594773
291,1176,509,37,119,0.971582899
292,295,425,158,69,0.239486284
293,292,433,22,82,0.329518784
294,138,848,65,128,0.532774652
295,1232,393,62,114,0.863405638
296,545,319,17,11,0.200179803
297,1345,719,180,58,0.511978076
298,744,375,115,118,0.706943564
299,657,187,90,149,0.578098802
300,1684,718,111,97,0.915567263
301,1716,59,139,82,0.92976189
302,757,939,114,189,0.116985668
303,1198,366,92,31,0.521067605
304,216,533,197,140,0.630574336
305,1584,673,17,121,0.792532585
306,1523,629,108,117,0.146266039
307,137,786,143,87,0.246266026
308,509,405,72,143,0.71328772
309,748,991,198,113,0.642321557
310,476,546,148,92,0.755395729
311,424,329,158,107,0.123646709
312,1522,850,42,22,0.002101048
313,610,384,158,187,0.689845722
314,703,885,94,180,0.404420677
315,1094,203,106,14,0.50549292
316,641,522,182,130,0.966063726
317,59,743,89,115,0.991433231
318,296,999,155,108,0.373871576
319,879,843,41,102,0.236243016
320,1539,201,72,23,0.185791383
321,1549,497,86,109,0.416866469
322,1769,554,96,121,0.850238166
323,891,359,42,81,0.054967729
324,213,99,122,154,0.81318349
325,607,457,148,51,0.380632146
326,1059,957,44,45,0.244391632
327,579,593,48,58,0.836356733
328,429,402,170,53,0.275179282
329,1171,392,51,98,0.054378533
330,810,367,112,143,0.981179799
331,747,873,43,32,0.790201594
332,1009,955,168,180,0.307122417
333,1746,969,46,169,0.383355241
334,1325,747,52,38,0.738187913
335,1346,194,149,186,0.378957652
336,319,812,23,12,0.898324746
337,1354,606,72,76,0.670241974
338,1365,386,78,91,0.11181688
339,1055,927,72,107,0.92556331
340,1501,618,35,44,0.799970327
341,662,628,142,93,0.699694075
342,1785,563,200,35,0.916156448
343,763,155,166,32,0.135186463
344,93,331,113,11,0.555619222
345,1687,358,11,192,0.602934168
346,1355,365,91,93,0.045302525
347,1072,899,47,155,0.651753323
348,1164,333,161,94,0.780330304
349,780,561,129,59,0.883602299
350,1793,271,62,183,0.895572768
351,899,415,51,21,0.980596803
352,844,935,94,150,0.365976788
353,1087,862,12,191,0.97543413
354,879,366,125,17,0.012060844
355,1742,809,97,122,0.622801963
356,1619,238,67,187,0.857828876
357,448,283,13,91,0.664329873
358,1778,903,144,69,0.006605935
359,151,161,154,60,0.401971611
360,1198,794,180,166,0.810506683
361,1635,465,154,20,0.033911218
362,1560,885,23,117,0.037093789
363,1142,133,100,169,0.608075572
364,592,737,129,32,0.711203107
365,1615,960,66,173,0.00402732
366,1783,753,97,123,0.809784446
367,500,806,104,19,0.022804844
368,848,890,147,156,0.285478207
369,1175,362,83,131,0.050016255
370,432,675,66,94,0.4847461
371,219,691,37,89,0.930720152
372,829,901,124,129,0.047356813
373,1615,725,187,124,0.849141655
374,1422,797,165,145,0.292050973
375,93,156,97,12,0.847201791
376,443,947,31,164,0.176729126
377,1550,831,52,186,0.268724931
378,1002,916,84,108,0.47635325
379,99,666,189,158,0.020430256
380,1006,533,129,57,0.095762115
381,1522,642,24,120,0.674780511
382,1592,894,100,194,0.931261201
383,1588,649,24,48,0.844598454
384,1507,670,23,200,0.05784916
385,296,208,151,105,0.976592375
386,507,615,30,40,0.399689066
387,492,984,12,181,0.374049265
388,598,835,111,74,0.810018555
389,1309,177,24,23,0.721291021
390,977,322,42,13,0.061755847
391,1795,451,36,152,0.967529587
392,1498,407,121,114,0.281287585
393,1320,515,12,172,0.976780439
394,183,333,125,114,0.867061819
395,1058,98,166,142,0.061761351
396,816,930,78,174,0.049889248
397,586,915,168,56,0.796598486
398,312,780,97,52,0.254061421
399,131,963,130,131,0.336609589
400,635,274,173,111,0.578312185
401,1780,293,130,118,0.662073484
402,190,914,146,10,0.775992765
403,167,85,89,14,0.487053118
404,662,690,18,109,0.687080732
405,1356,581,37,36,0.460062882
406,843,745,94,47,0.206842245
407,314,824,102,110,0.610837211
408,1240,817,71,74,0.908441559
409,279,448,63,137,0.717876277
410,288,872,163,44,0.50783902
411,328,840,102,144,0.835859963
412,1272,154,142,176,0.552171333
413,1607,465,187,189,0.701901765
414,1584,246,127,186,0.383858918
415,224,132,185,23,0.732701559
416,693,486,14,148,0.228780296
417,1197,86,149,137,0.735946563
418,1739,919,47,156,0.520542719
419,454,779,104,183,0.412996261
420,1573,601,144,20,0.443122158
421,388,973,139,32,0.017991452
422,1506,474,184,145,0.614245978
423,130,703,90,17,0.908359427
424,150,100,64,177,0.689418262
425,1513,995,73,64,0.034647527
426,1266,952,117,15,0.972604893
427,396,982,159,99,0.36080813
428,973,863,24,184,0.147024952
429,1713,231,111,23,0.80831907
430,1236,356,163,128,0.60498567
431,1606,483,70,53,0.454087051
432,1615,172,63,63,0.216773911
433,1365,428,77,96,0.53158156
434,1670,72,27,178,0.875872766
435,1472,901,102,168,0.133933837
436,953,334,146,31,0.141121846
437,955,593,84,20,0.702331913
438,1708,680,44,13,0.442714499
439,541,138,151,117,0.019872184
440,1274,337,62,95,0.678188105
441,906,730,155,71,0.835991764
442,1253,736,137,143,0.509493893
443,304,236,199,74,0.643750542
444,859,201,29,14,0.727652782
445,1335,408,57,125,0.35134054
446,733,266,72,70,0.713655141
447,575,482,11,163,0.580314937
448,1792,571,148,119,0.017466551
449,1496,999,195,180,0.443511879
450,120,147,58,93,0.979488495
451,95,384,60,79,0.083471271
452,1307,591,98,17,0.571497992
453,1518,478,38,11,0.821597406
454,477,667,46,55,0.202186796
455,303,487,36,81,0.017654989
456,1465,631,83,94,0.650118441
457,1031,169,195,45,0.358030333
458,1185,714,74,139,0.507646975
459,523,407,75,24,0.261576034
460,1464,957,179,14,0.672617823
461,248,130,138,144,0.346681923
462,951,628,110,52,0.451481358
463,834,429,46,161,0.310803601
464,792,150,150,85,0.507334724
465,1266,785,107,11,0.288379843
466,1224,950,30,154,0.183991435
467,1193,974,39,161,0.159896725
468,769,190,12,87,0.000687756
469,222,127,31,191,0.969373654
470,1494,824,51,140,0.341006049
471,720,645,51,140,0.267454147
472,1549,339,67,72,0.283710213
473,1624,892,171,106,0.717410593
474,83,305,65,117,0.787787179
475,1534,65,29,159,0.184760473
476,1410,626,170,105,0.936917897
477,1755,721,151,86,0.779520821
478,1755,914,84,121,0.708376019
479,1446,683,46,41,0.257444988
480,814,54,34,114,0.331424917
481,1252,59,74,196,0.197512203
482,941,280,46,135,0.086776645
483,979,135,167,126,0.603831523
484,572,688,91,131,0.076963754
485,612,496,98,190,0.90480658
486,1754,933,127,54,0.834806353
487,1002,952,63,139,0.681689607
488,1599,705,182,160,0.403974639
489,1419,919,84,172,0.401361892
490,1115,187,65,198,0.760875574
491,971,985,60,17,0.007350377
492,1026,990,158,109,0.249302907
493,1481,801,121,185,0.92265118
494,1127,786,75,66,0.027473775
495,823,765,111,168,0.145692946
496,1494,915,34,159,0.631096172
497,1102,628,85,119,0.474359259
498,1237,247,63,90,0.498797004
499,1567,529,82,171,0.336162834
500,696,947,73,127,0.545106678
501,226,590,109,39,0.610544394
502,217,778,71,132,0.514833801
503,715,851,63,45,0.910493048
504,79,941,172,173,0.092164707
505,136,723,52,132,0.315350073
506,1105,732,168,72,0.328501302
507,913,244,98,147,0.381355334
508,492,679,64,93,0.953790782
509,637,902,108,92,0.255448104
510,1381,67,111,162,0.186191394
511,794,315,36,64,0.266712847
512,87,60,164,161,0.387069574
513,590,622,152,180,0.050605206
514,883,438,139,157,0.120439591
515,563,408,60,52,0.26005171
516,1717,442,168,190,0.937103067
517,50,643,43,103,0.730748637
518,1296,112,19,155,0.237036384
519,462,362,100,44,0.132370208
520,1406,888,103,154,0.452567586
521,1481,122,110,74,0.955601297
522,886,588,124,124,0.68985777
523,541,104,122,104,0.727985736
524,202,688,56,129,0.123734261
525,192,680,62,122,0.535363044
526,1011,483,114,175,0.682966264
527,1713,939,169,57,0.912058051
528,1404,547,25,155,0.948623461
529,1210,448,80,147,0.780409497
530,981,518,163,32,0.466794983
531,1607,410,168,83,0.180205459
532,1660,239,120,122,0.876506854
533,397,564,103,19,0.908181928
534,219,147,31,129,0.833496318
535,1665,987,101,149,0.804861528
536,251,926,180,11,0.288198638
537,1668,156,162,76,0.649856978
538,1479,608,109,136,0.148793459
539,1332,931,58,91,0.418845738
540,1315,638,200,151,0.333743618
541,1611,843,33,57,0.312411296
542,1217,877,49,95,0.574487023
543,694,208,158,146,0.554335457
544,823,322,158,190,0.174945215
545,476,702,198,101,0.184900499
546,1567,945,98,156,0.370963336
547,1520,759,22,20,0.467234115
548,1396,345,190,141,0.340016559
549,1245,675,104,148,0.682502891
550,650,757,178,33,0.532856768
551,944,712,91,135,0.03158928
552,925,430,51,175,0.90086281
553,1108,253,64,46,0.116593871
554,143,118,26,19,0.750634587
555,994,374,115,12,0.533535728
556,935,83,72,30,0.327080944
557,1520,757,12,126,0.052861185
558,1752,560,20,91,0.921162914
559,392,757,68,129,0.920383973
560,68,154,136,155,0.950195501
561,182,508,159,176,0.280090818
562,1024,623,185,33,0.347611114
563,935,106,146,77,0.169758253
564,1394,303,199,89,0.84489198
565,592,624,57,60,0.254833239
566,711,442,46,38,0.288248572
567,1237,52,174,18,0.505011084
568,150,303,143,184,0.485834039
569,1262,919,97,48,0.904313841
570,1539,904,64,197,0.407850321
571,92,870,123,66,0.75105559
572,1181,389,97,181,0.276817514
573,1098,136,99,69,0.195410301
574,475,734,166,194,0.268157392
575,542,288,58,111,0.05059051
576,1177,93,126,55,0.152238801
577,444,743,184,129,0.14729291
578,211,519,79,150,0.397461507
579,1190,927,127,192,0.815326765
580,1233,330,69,42,0.193499392
581,1328,990,113,154,0.568064782
582,1609,59,81,163,0.672597262
583,1178,951,39,34,0.305435201
584,803,146,22,154,0.329969682
585,594,999,194,141,0.505051028
586,847,349,72,123,0.824997065
587,124,823,170,100,0.78126918
588,1682,529,199,171,0.600938284
589,577,660,38,78,0.107237042
590,780,685,69,170,0.278247713
591,1487,916,129,168,0.387290447
592,1105,519,100,136,0.928520437
593,278,856,186,157,0.997821719
594,779,411,192,98,0.591460842
595,303,584,172,43,0.159586418
596,1587,954,60,28,0.956035209
597,1529,819,107,39,0.904462715
598,606,628,34,56,0.441677846
599,340,841,135,144,0.351375804
600,1041,538,93,122,0.623384673
601,1539,772,188,14,0.35517696
602,378,777,53,62,0.339239275
603,626,390,123,49,0.71390549
604,1576,611,60,161,0.328923728
605,1632,320,191,158,0.047006423
606,203,824,151,128,0.604133416
607,1526,840,64,122,0.103971501
608,507,216,157,50,0.966871209
609,1157,511,154,168,0.459832517
610,1616,424,29,110,0.054032009
611,1644,127,164,132,0.876016952
612,523,793,179,31,0.359785804
613,1535,273,182,41,0.708136578
614,531,186,111,193,0.868671373
615,592,608,42,77,0.77255132
616,1103,453,51,178,0.55815836
617,1357,599,69,144,0.206852238
618,781,828,197,149,0.808959999
619,699,551,61,192,0.003840313
620,152,526,164,193,0.319483786
621,1012,601,185,58,0.546609172
622,476,281,59,70,0.582922128
623,726,411,66,142,0.685831344
624,1474,109,107,142,0.604682529
625,1346,153,195,38,0.619460847
626,405,740,17,171,0.0815227
627,1025,88,194,128,0.889825624
628,1499,365,87,126,0.220355694
629,144,683,120,124,0.414751704
630,1086,678,153,101,0.793042173
631,1111,619,81,109,0.496504399
632,142,524,18,91,0.065624415
633,865,248,152,107,0.991452886
634,1791,596,19,77,0.850782504
635,1446,277,165,136,0.794171364
636,1748,507,57,26,0.154675855
637,1593,867,142,56,0.875888346
638,1578,178,149,183,0.155537837
639,217,588,15,141,0.51914315
640,755,157,131,72,0.315244225
641,477,114,124,142,0.753645609
642,1495,906,47,127,0.250966946
643,188,678,41,31,0.064970298
644,1023,167,153,174,0.181371069
645,532,191,94,25,0.466015985
646,585,449,179,65,0.000104584
647,1297,185,19,116,0.790761642
648,1466,366,198,136,0.475473973
649,971,310,66,181,0.901902848
650,1649,209,79,56,0.419014603
651,1158,750,28,110,0.164744516
652,1254,851,73,55,0.965578234
653,1026,409,176,55,0.414687523
654,1746,84,43,180,0.054834274
655,803,709,80,78,0.602529649
656,403,953,69,140,0.042818471
657,496,507,152,170,0.192075747
658,198,336,13,37,0.741765483
659,332,671,134,139,0.479771992
660,293,283,136,16,0.130411487
661,544,281,157,41,0.377744497
662,988,102,76,63,0.851556529
663,488,823,186,192,0.279007622
664,1608,773,21,151,0.977683389
665,1550,799,12,100,0.057150745
666,887,387,168,25,0.019107106
667,474,662,116,54,0.347898976
668,1006,887,47,30,0.867948777
669,298,833,45,78,0.700368087
670,257,719,43,37,0.334936078
671,1196,108,92,58,0.732819559
672,930,667,69,21,0.775727354
673,1409,495,166,78,0.937644047
674,1725,886,164,60,0.731034482
675,1364,592,45,104,0.061628096
676,1605,959,41,166,0.722873602
677,610,65,128,84,0.428931758
678,1187,821,149,18,0.806284048
679,828,998,98,69,0.41329649
680,1505,86,89,134,0.38458988
681,1584,542,187,108,0.977519289
682,772,672,22,44,0.018261756
683,1025,966,57,34,0.665408938
684,729,835,173,153,0.27526712
685,1397,931,78,117,0.179149128
686,655,77,111,119,0.785040892
687,666,938,143,107,0.609113469
688,740,909,137,175,0.239735199
689,1104,420,75,84,0.687200713
690,525,102,92,62,0.566733019
691,1548,518,166,182,0.658439154
692,1410,164,58,11,0.993310531
693,582,368,60,188,0.308705377
694,1698,778,65,140,0.855842247
695,1059,873,143,95,0.271000119
696,1261,653,69,148,0.879080227
697,580,702,35,185,0.591241285
698,71,766,90,44,0.764206652
699,548,636,125,89,0.483690372
700,81,499,28,106,0.760825916
701,286,183,119,127,0.858430894
702,185,869,25,122,0.36953196
703,891,552,74,17,0.550278926
704,1375,823,17,142,0.241252166
705,897,585,183,107,0.841855748
706,1499,956,98,105,0.356410572
707,1442,632,16,199,0.636119979
708,1657,269,55,69,0.301229667
709,634,622,79,187,0.336093053
710,1106,519,200,160,0.494133673
711,972,562,185,27,0.902901899
712,1604,890,13,28,0.568793493
713,419,511,53,110,0.386447241
714,909,363,86,11,0.836800155
715,1394,609,114,199,0.32558907
716,571,945,77,180,0.549205816
717,369,486,99,146,0.680683782
718,650,233,58,27,0.784039918
719,1244,133,28,93,0.811934192
720,397,844,18,32,0.005446537
721,71,645,145,48,0.098864597
722,635,562,166,142,0.954131996
723,1121,592,102,186,0.319178955
724,1144,363,188,23,0.281792207
725,1012,161,119,25,0.75024613
726,433,116,168,49,0.109236223
727,266,979,111,172,0.757358359
728,449,571,197,37,0.870362504
729,1396,566,25,130,0.006603262
730,318,470,171,98,0.785804052
731,1320,643,76,138,0.138481968
732,316,971,99,129,0.285338891
733,794,63,187,33,0.161999396
734,156,865,176,53,0.105280909
735,1368,178,102,187,0.608637488
736,142,190,14,108,0.259635607
737,1410,187,36,61,0.631182867
738,1150,719,102,16,0.427143366
739,731,830,152,177,0.891372623
740,1609,841,112,14,0.451572521
741,1442,877,44,52,0.295558483
742,1723,215,109,137,0.823691398
743,956,123,172,18,0.716103985
744,128,927,168,20,0.410023903
745,248,776,110,111,0.419402123
746,833,723,148,172,0.544936783
747,710,518,187,167,0.727559475
748,399,211,131,113,0.516378758
749,1309,813,185,77,0.112007741
750,656,134,135,53,0.347633586
751,472,574,138,67,0.410232735
752,763,253,60,28,0.552316009
753,497,559,64,197,0.637535295
754,864,207,95,193,0.118917524
755,799,634,10,66,0.292579981
756,120,592,194,189,0.446720592
757,1468,744,49,176,0.638475465
758,401,279,171,184,0.578657048
759,1520,914,11,185,0.369435631
760,1287,843,175,131,0.302578334
761,281,771,31,169,0.877883657
762,92,778,127,181,0.710574555
763,1331,897,140,121,0.330186251
764,1090,650,164,106,0.693183482
765,657,740,165,190,0.039104784
766,97,271,26,125,0.055140962
767,1020,913,82,136,0.62167065
768,1623,487,155,158,0.329461971
769,1315,634,109,87,0.553243784
770,467,272,198,95,0.521711209
771,1013,760,76,71,0.317616887
772,520,526,97,126,0.113515297
773,1211,486,155,91,0.078411684
774,1589,676,83,119,0.411223886
775,1176,264,23,147,0.705785308
776,1270,422,162,140,0.269959317
777,473,501,114,48,0.120331025
778,856,686,145,81,0.027092586
779,1606,656,94,153,0.039257946
780,1418,961,92,25,0.172691444
781,1547,517,158,29,0.208410552
782,1129,185,197,153,0.773870889
783,1750,435,191,143,0.624467061
784,1134,424,69,83,0.486167147
785,103,924,28,39,0.367190388
786,1635,945,66,127,0.59819037
787,1356,471,39,159,0.099271117
788,1431,270,170,94,0.230986415
789,1549,525,97,94,0.087465023
790,65,788,116,147,0.221207642
791,489,662,146,112,0.973689934
792,568,111,119,53,0.490949981
793,1201,146,158,63,0.257170171
794,610,73,190,30,0.414850563
795,884,285,52,41,0.357140074
796,1234,873,163,151,0.063906897
797,627,814,129,78,0.396612594
798,294,856,54,183,0.819298684
799,665,763,83,112,0.376999373
800,205,131,74,117,0.020995664
801,1600,675,187,126,0.229812693
802,1241,868,133,79,0.158884308
803,1224,710,124,30,0.363604389
804,1561,775,183,184,0.037085739
805,1089,146,115,135,0.057176803
806,560,503,175,172,0.280605279
807,1017,981,89,22,0.318711869
808,1055,116,180,31,0.990992551
809,1751,691,121,36,0.300153234
810,742,961,168,118,0.226914276
811,856,424,153,23,0.812656663
812,155,67,51,65,0.422561843
813,1522,395,174,107,0.546760039
814,375,432,193,162,0.981511966
815,1490,409,29,152,0.780470362
816,1798,720,133,53,0.382624459
817,473,808,41,37,0.305091137
818,1723,625,18,141,0.584303737
819,867,873,90,158,0.757070834
820,1065,886,124,29,0.76486878
821,1077,319,10,116,0.985278783
822,220,810,176,28,0.556072013
823,281,745,149,40,0.327079758
824,372,363,20,101,0.27494377
825,506,400,12,168,0.692192639
826,1233,504,197,22,0.67091496
827,997,169,109,15,0.570564841
828,543,738,10,65,0.711221712
829,1078,801,95,104,0.569568874
830,1756,607,82,166,0.838253342
831,1028,476,35,141,0.339933535
832,1485,250,161,144,0.902563114
833,1051,370,195,116,0.442698487
834,1502,847,38,114,0.311631293
835,1619,277,57,49,0.581335632
836,411,523,79,26,0.121682227
837,56,395,41,72,0.907534994
838,1237,212,60,53,0.288777803
839,1294,391,166,100,0.000406753
840,462,776,139,34,0.233554278
841,1448,429,168,151,0.143740602
842,1483,108,147,75,0.064460708
843,339,582,129,28,0.691491847
844,1080,822,148,190,0.46382822
845,704,650,146,156,0.459480466
846,1458,602,44,145,0.176588568
847,1777,946,113,171,0.327489741
